transect,ac_erect_single,ag_articulated_calcareous,ag_corticated_foliose,ag_corticated_macrophyte,cca_crustose,cy_filamentous,hc_arborescent,hc_bushy,hc_column,hc_encrusting,hc_foliose,hc_massive,hc_table,oc_arborescent,oc_bushy,oc_cluster,oc_digitate,oc_encrusting,oc_lobate,oc_massive,sg,sp_encrusting,sp_massive,sp_repent,turf_filamentous,zo_encrusting,zo_massive
Dongsha_NorthOuterAtoll_10m_T1,0,0,0,0.018005236,2.989947045,0.014038474,0,0.161864506,0.003650145,1.048286533,0.008916891,0.091615307,0.003477063,0,0.132448048,0.046294098,10.91779933,0,1.010127271,1.146432086,0,0.029981868,0.055150699,0.001196821,2.306085264,0,0
Dongsha_NorthOuterAtoll_10m_T2,0.009443657,0.004519093,0.019972793,0,2.322658736,0.002874249,0,0.458372211,0,0.895722217,0.018422834,0.050111114,0.011060097,0,0.014413976,0.061806305,12.86805963,0,0.975816526,0.259346347,0,0.000588892,0,0.004796998,2.146135134,0,0
Dongsha_NorthOuterAtoll_10m_T3,0.017801559,0,0,0,2.120931277,0,0.033852863,0.283951286,0.023096308,0.862720414,0.021116379,0.248471998,0.072794711,0,0.131154619,0.121473404,11.29723763,0,1.867216662,0.51158587,0,0,0,0,2.707748628,0,0
Dongsha_NorthOuterAtoll_10m_T4,0.045379906,0,0,0,3.055292454,0,0.007119188,0.0364058,0.030526259,2.187068792,0.017273004,0.117331966,0,0,0.094738833,0.098087216,9.440799484,0,0.892003412,0.258968603,0,0.018600596,0,0,3.87226973,0,0
Dongsha_NorthOuterAtoll_10m_T5,0,0,0,0,2.62819309,0,0,0.042933985,0.000810737,1.442804842,0.03912879,0.062191985,0,0,0.251495291,0.583820664,9.346886195,0,1.350525538,0.145655848,0,0,0,0,3.45679228,0,0
Dongsha_NorthOuterAtoll_20m_T1,0.07712094,0,0,0.007494441,8.534977089,0.007542591,0,0.036698825,0,0.982561715,0.029984655,0.105492923,0,0,0.121864623,0.016425455,4.176286657,0,0.151595044,0,0,0.034057648,0,0.007164264,6.129776538,0,0
Dongsha_NorthOuterAtoll_20m_T2,0.078277499,0,0.028913586,0.011740219,5.74246616,0.002691383,0,0.002426064,0,0.841818074,0.004171556,0.098582819,0,0,0.244391379,0.093292015,4.809116068,0,0.482156462,0.177821142,0,0.004482929,0,0.018379228,7.317489683,0,0
Dongsha_NorthOuterAtoll_20m_T3,0.035361948,0,0,0.005036598,4.147003885,0,0.051296817,0.002112791,0,0.394966721,0.016745027,0.042288498,0,0,0.161028805,0,3.628530343,0,0.639587807,0.29400561,0,0.066952132,0,0.028613744,10.7355588,0,0
Dongsha_NorthOuterAtoll_20m_T4,0.083902376,0,0,0.017721122,3.732671167,0.004217289,0,0,0,1.421422071,0.024720725,0.008030339,0,0,0.412211183,0.100418743,4.772899601,0,0.009255414,0.028572495,0,0.039239587,0.003393998,0.033145684,9.320047786,0,0
Dongsha_NorthOuterAtoll_20m_T5,0.006998759,0,0.024077911,0,5.041608184,0,0,0.144980026,0,0.881321509,0.012526369,0.092085289,0,0,0,0,1.002006262,0,0.089211214,0.004238773,0,0.025990142,0,0.003196924,9.691665316,0,0
